0,TS,SA
1,13463,13605
2,13358,13754
3,13278,13494
4,13166,13653
5,13116,13659
6,13049,13212
7,12976,13565
8,12917,13942
9,12832,13764
10,12805,13399
11,12771,13433
12,12731,13682
13,12665,13386
14,12644,13783
15,12626,13231
16,12606,13594
17,12538,13872
18,12509,13799
19,12498,13228
20,12475,13385
21,12441,13880
22,12423,13328
23,12418,13211
24,12398,13150
25,12388,13433
26,12365,13327
27,12353,13521
28,12316,13618
29,12272,13433
30,12236,13407
31,12236,13595
32,12221,13545
33,12217,14031
34,12216,13993
35,12216,13296
36,12192,13422
37,12189,13719
38,12189,13570
39,12179,13695
40,12175,13968
41,12144,13788
42,12141,13729
43,12140,13603
44,12138,13432
45,12135,13246
46,12135,13443
47,12125,13500
48,12123,13466
49,12123,13202
50,12121,13574
51,12110,13258
52,12098,13181
53,12084,13714
54,12072,13625
55,12065,13435
56,12056,13471
57,12041,13722
58,12024,13453
59,12021,13844
60,12016,13171
61,12012,13296
62,12003,13220
63,12003,13549
64,11998,13585
65,11991,13829
66,11987,13440
67,11977,13323
68,11972,13570
69,11972,13667
70,11972,13309
71,11969,13580
72,11966,13318
73,11966,13625
74,11966,13706
75,11958,13977
76,11948,13627
77,11946,13174
78,11940,13212
79,11931,13248
80,11926,13430
81,11921,13588
82,11915,13569
83,11915,13719
84,11915,13547
85,11908,13642
86,11908,13740
87,11907,13702
88,11898,13738
89,11897,13524
90,11894,13406
91,11894,13382
92,11894,13531
93,11894,13620
94,11894,13581
95,11885,13776
96,11883,13970
97,11881,13618
98,11881,13755
99,11878,13868
100,11876,13641
101,11864,13288
102,11864,13702
103,11858,13449
104,11856,13751
105,11849,13739
106,11849,13413
107,11849,13919
108,11849,13691
109,11836,13588
110,11834,13382
111,11834,13674
112,11831,13489
113,11831,13323
114,11831,13630
115,11833,13653
116,11831,13612
117,11831,13374
118,11829,13617
119,11824,13642
120,11824,13633
121,11824,13697
122,11823,13701
123,11823,13699
124,11823,13455
125,11815,13919
126,11812,13737
127,11809,13551
128,11809,13414
129,11809,13447
130,11809,13685
131,11809,13298
132,11803,13384
133,11803,13568
134,11803,13321
135,11803,13377
136,11803,13504
137,11803,13362
138,11803,13304
139,11803,13292
140,11803,13828
141,11803,13535
142,11800,13368
143,11800,13537
144,11800,13624
145,11796,13374
146,11795,13525
147,11796,13465
148,11796,13671
149,11795,13606
150,11795,13327
151,11795,13602
152,11795,13275
153,11795,13313
154,11795,13618
155,11795,13789
156,11795,13796
157,11795,13471
158,11795,13217
159,11795,13224
160,11795,13085
161,11793,13442
162,11792,13328
163,11792,13626
164,11792,13907
165,11792,13257
166,11792,13509
167,11792,13408
168,11792,13724
169,11792,13501
170,11792,13741
171,11791,13702
172,11791,13522
173,11791,13510
174,11791,13235
175,11791,13459
176,11791,13482
177,11789,13564
178,11789,13406
179,11789,13187
180,11788,13661
181,11788,13877
182,11788,13797
183,11788,13308
184,11788,13424
185,11773,13618
186,11773,13304
187,11773,13478
188,11773,13789
189,11773,13882
190,11773,13576
191,11771,13390
192,11768,13500
193,11768,13624
194,11768,13722
195,11765,13820
196,11764,13621
197,11750,13596
198,11750,13731
199,11747,13359
200,11731,13482
201,11729,13591
202,11726,13147
203,11725,13043
204,11725,13384
205,11724,13560
206,11720,13001
207,11713,13150
208,11702,13410
209,11702,13411
210,11702,13576
211,11702,13301
212,11702,13277
213,11702,13623
214,11701,13448
215,11697,13860
216,11697,13659
217,11693,13608
218,11693,13287
219,11693,13684
220,11693,13940
221,11691,13497
222,11691,13517
223,11691,13436
224,11691,13351
225,11699,13412
226,11696,13447
227,11696,13524
228,11696,13356
229,11696,13368
230,11696,13549
231,11696,13450
232,11688,13341
233,11688,13230
234,11683,12978
235,11683,13208
236,11683,13215
237,11683,13335
238,11683,13299
239,11683,13027
240,11683,13141
241,11683,13090
242,11683,13593
243,11683,13523
244,11683,13825
245,11680,13220
246,11680,13490
247,11680,13385
248,11680,13267
249,11685,13277
250,11685,13382
251,11680,13434
252,11683,13513
253,11680,13408
254,11680,13458
255,11680,13351
256,11680,13148
257,11680,13448
258,11679,13525
259,11679,13399
260,11679,13120
261,11679,13357
262,11677,13465
263,11677,13486
264,11677,13238
265,11677,13239
266,11677,13516
267,11677,13310
268,11677,13602
269,11677,13315
270,11682,13650
271,11681,13329
272,11681,13407
273,11695,13555
274,11695,13322
275,11689,13318
276,11689,13463
277,11689,13104
278,11689,13231
279,11689,13452
280,11697,13485
281,11697,13682
282,11697,13472
283,11697,13453
284,11697,13310
285,11697,13095
286,11697,13389
287,11697,13391
288,11697,13365
289,11696,13442
290,11693,13509
291,11693,13673
292,11693,13431
293,11693,13229
294,11693,13433
295,11693,13339
296,11707,13310
297,11707,13194
298,11700,13610
299,11695,13382
300,11691,13486
301,11691,13351
302,11691,13453
303,11687,13290
304,11685,13201
305,11685,13221
306,11685,13081
307,11685,13527
308,11685,13573
309,11685,13398
310,11685,13362
311,11685,13068
312,11677,13010
313,11677,13165
314,11677,13747
315,11675,13050
316,11675,13082
317,11675,13103
318,11673,13029
319,11673,13268
320,11669,13297
321,11665,13296
322,11665,13404
323,11665,13415
324,11663,13255
325,11663,13378
326,11663,13190
327,11663,13247
328,11663,13311
329,11663,13335
330,11663,13428
331,11663,13313
332,11663,13288
333,11663,13080
334,11663,13210
335,11663,13527
336,11663,13356
337,11663,13369
338,11663,12971
339,11663,13079
340,11663,13471
341,11663,13383
342,11663,13077
343,11659,13105
344,11659,13340
345,11659,13298
346,11659,13671
347,11657,13395
348,11657,13365
349,11657,13206
350,11657,13414
351,11654,13397
352,11654,13285
353,11654,13442
354,11654,13109
355,11654,13345
356,11654,13301
357,11654,13392
358,11654,13147
359,11654,13260
360,11654,13086
361,11654,13592
362,11654,13303
363,11654,13428
364,11654,13297
365,11651,13037
366,11651,13075
367,11651,13113
368,11651,13238
369,11651,13417
370,11651,13421
371,11651,13416
372,11651,13183
373,11651,13326
374,11651,13219
375,11651,13257
376,11651,13044
377,11655,12717
378,11655,12869
379,11654,12891
380,11653,13175
381,11653,13075
382,11653,13156
383,11653,13079
384,11653,13151
385,11653,13036
386,11653,13312
387,11653,13249
388,11653,13283
389,11653,13235
390,11653,13413
391,11653,13417
392,11653,13194
393,11653,13038
394,11653,13097
395,11653,13217
396,11653,13040
397,11653,13078
398,11653,13159
399,11653,12904
400,11653,13081
401,11653,13196
402,11653,12880
403,11668,12932
404,11668,13176
405,11668,13022
406,11668,13076
407,11668,13109
408,11674,13051
409,11669,13020
410,11669,13272
411,11669,13296
412,11669,13302
413,11669,13169
414,11666,13083
415,11666,13172
416,11665,13011
417,11665,13067
418,11658,13089
419,11646,13149
420,11638,12843
421,11638,13075
422,11638,13068
423,11637,13113
424,11638,13169
425,11633,12888
426,11631,12953
427,11628,13092
428,11635,13273
429,11637,13053
430,11637,13005
431,11637,13130
432,11629,12982
433,11629,13008
434,11629,13104
435,11628,13137
436,11628,13112
437,11628,13025
438,11626,13003
439,11631,12993
440,11631,13070
441,11631,12814
442,11631,13033
443,11631,13025
444,11631,12631
445,11626,12937
446,11626,12974
447,11626,13199
448,11626,13051
449,11626,12778
450,11626,12959
451,11626,13004
452,11626,13073
453,11620,13108
454,11620,13000
455,11619,12869
456,11619,12743
457,11619,12795
458,11619,12921
459,11619,12770
460,11614,12868
461,11625,12902
462,11623,13080
463,11615,12841
464,11615,12853
465,11615,12854
466,11614,12706
467,11614,12997
468,11614,12951
469,11614,12957
470,11616,13079
471,11618,12936
472,11618,12704
473,11618,12665
474,11615,12553
475,11617,12655
476,11613,12734
477,11610,12876
478,11610,12890
479,11609,12755
480,11609,12738
481,11609,12916
482,11618,12880
483,11618,12869
484,11609,12857
485,11608,12721
486,11605,12691
487,11605,12803
488,11600,12779
489,11600,12741
490,11600,12765
491,11599,12786
492,11599,12703
493,11599,12649
494,11598,12650
495,11598,12799
496,11598,12837
497,11598,12654
498,11598,12689
499,11598,12773
500,11598,13020
501,11596,12849
502,11593,12757
503,11593,12822
504,11593,12915
505,11592,12805
506,11590,12885
507,11591,12945
508,11592,12779
509,11592,12880
510,11592,12836
511,11595,12749
512,11595,12760
513,11591,12698
514,11591,12637
515,11590,12769
516,11590,12780
517,11590,12685
518,11590,12771
519,11588,12739
520,11588,12773
521,11588,12553
522,11588,12682
523,11588,12583
524,11588,12792
525,11588,12753
526,11588,12744
527,11588,12810
528,11588,12661
529,11588,12644
530,11588,12620
531,11588,12594
532,11588,12606
533,11588,12669
534,11588,12547
535,11588,12693
536,11591,12586
537,11578,12637
538,11578,12605
539,11578,12440
540,11578,12482
541,11578,12602
542,11578,12582
543,11578,12535
544,11577,12587
545,11577,12676
546,11577,12888
547,11577,12706
548,11582,12593
549,11579,12545
550,11577,12612
551,11577,12738
552,11577,12684
553,11577,12562
554,11577,12470
555,11577,12425
556,11577,12468
557,11577,12461
558,11577,12530
559,11575,12482
560,11566,12470
561,11562,12524
562,11555,12489
563,11552,12572
564,11552,12463
565,11552,12470
566,11552,12438
567,11552,12454
568,11553,12386
569,11552,12436
570,11552,12392
571,11550,12555
572,11550,12450
573,11550,12496
574,11550,12442
575,11550,12382
576,11550,12381
577,11550,12527
578,11550,12455
579,11550,12355
580,11550,12389
581,11550,12546
582,11550,12421
583,11550,12393
584,11548,12400
585,11548,12345
586,11548,12358
587,11555,12354
588,11555,12354
589,11555,12337
590,11548,12339
591,11548,12279
592,11548,12287
593,11548,12193
594,11547,12263
595,11547,12289
596,11547,12337
597,11547,12354
598,11547,12271
599,11547,12274
600,11541,12342
601,11541,12349
602,11546,12334
603,11546,12247
604,11546,12192
605,11546,12134
606,11540,12201
607,11540,12107
608,11542,12136
609,11542,12145
610,11543,12202
611,11554,12241
612,11554,12231
613,11554,12178
614,11554,12236
615,11554,12276
616,11554,12293
617,11554,12326
618,11554,12240
619,11550,12218
620,11550,12243
621,11550,12190
622,11546,12299
623,11546,12149
624,11546,12145
625,11546,12188
626,11546,12227
627,11550,12251
628,11550,12146
629,11550,12147
630,11547,12124
631,11542,12136
632,11542,12151
633,11542,12214
634,11536,12241
635,11536,12210
636,11536,12203
637,11536,12150
638,11536,12225
639,11536,12221
640,11536,12149
641,11536,12125
642,11536,12134
643,11536,12178
644,11536,12165
645,11536,12208
646,11536,12190
647,11536,12163
648,11536,12204
649,11536,12161
650,11536,12123
651,11536,12146
652,11536,12185
653,11536,12158
654,11536,12153
655,11536,12166
656,11536,12164
657,11536,12135
658,11536,12102
659,11536,12052
660,11536,12049
661,11536,12054
662,11536,12079
663,11536,12001
664,11536,11953
665,11536,11956
666,11536,11999
667,11536,12012
668,11536,11995
669,11536,12007
670,11536,11977
671,11536,11996
672,11536,11983
673,11536,11985
674,11536,11971
675,11536,11955
676,11536,11963
677,11536,11980
678,11536,11993
679,11536,11954
680,11536,11962
681,11536,12003
682,11536,11962
683,11536,12037
684,11542,12021
685,11544,12012
686,11544,11969
687,11544,11967
688,11542,12002
689,11542,12010
690,11549,12006
691,11545,11981
692,11542,11987
693,11542,11997
694,11542,12000
695,11542,11975
696,11542,11965
697,11542,11995
698,11542,11998
699,11542,12045
700,11536,12041
701,11536,12042
702,11536,12038
703,11536,12027
704,11536,12045
705,11544,12062
706,11538,12083
707,11538,12063
708,11536,12077
709,11536,12030
710,11536,12017
711,11536,12043
712,11536,12047
713,11536,12023
714,11536,12001
715,11536,11954
716,11536,11954
717,11536,11958
718,11536,11935
719,11536,11931
720,11536,11938
721,11536,11938
722,11536,11926
723,11536,11926
724,11536,11925
725,11536,11916
726,11534,11924
727,11534,11902
728,11529,11885
729,11529,11867
730,11529,11867
731,11536,11846
732,11532,11846
733,11524,11815
734,11524,11798
735,11523,11788
736,11523,11777
737,11523,11775
738,11527,11786
739,11527,11787
740,11527,11787
741,11529,11791
742,11527,11791
743,11527,11791
744,11523,11791
745,11523,11779
746,11523,11782
747,11523,11782
748,11523,11777
749,11523,11778
750,11523,11779
751,11523,11779
752,11523,11779
753,11523,11779
754,11523,11779
755,11523,11783
756,11523,11783
757,11523,11785
758,11523,11791
759,11523,11783
760,11523,11783
761,11523,11765
762,11523,11765
763,11523,11764
764,11523,11758
765,11523,11758
766,11523,11760
767,11523,11778
768,11523,11778
769,11523,11779
770,11523,11771
771,11523,11771
772,11523,11771
773,11523,11768
774,11523,11770
775,11523,11768
776,11522,11768
777,11522,11768
778,11522,11768
779,11522,11765
780,11522,11759
781,11522,11752
782,11522,11752
783,11522,11749
784,11522,11749
785,11522,11746
786,11522,11747
787,11522,11752
788,11522,11764
789,11522,11759
790,11522,11759
791,11522,11763
792,11524,11748
793,11524,11748
794,11522,11748
795,11517,11748
796,11523,11748
797,11523,11748
798,11523,11745
799,11517,11728
800,11517,11717
801,11517,11717
802,11517,11717
803,11517,11729
804,11517,11729
805,11517,11729
806,11517,11729
807,11517,11729
808,11517,11729
809,11517,11719
810,11517,11714
811,11517,11714
812,11517,11714
813,11517,11714
814,11533,11706
815,11529,11702
816,11529,11702
817,11529,11702
818,11529,11702
819,11529,11703
820,11541,11703
821,11541,11702
822,11541,11702
823,11545,11702
824,11545,11702
825,11545,11702
826,11545,11702
827,11541,11702
828,11539,11702
829,11539,11702
830,11540,11702
831,11540,11702
832,11539,11702
833,11539,11703
834,11539,11702
835,11538,11702
836,11541,11702
837,11541,11702
838,11540,11702
839,11539,11702
840,11539,11702
841,11534,11719
842,11534,11719
843,11534,11715
844,11534,11716
845,11534,11715
846,11528,11714
847,11528,11709
848,11528,11709
849,11528,11709
850,11528,11709
851,11528,11709
852,11528,11709
853,11528,11711
854,11528,11705
855,11528,11705
856,11528,11705
857,11528,11705
858,11528,11705
859,11528,11691
860,11528,11689
861,11528,11689
862,11528,11692
863,11533,11692
864,11528,11689
865,11528,11689
866,11528,11690
867,11528,11690
868,11529,11683
869,11529,11683
870,11529,11685
871,11529,11685
872,11529,11685
873,11529,11679
874,11529,11679
875,11529,11679
876,11529,11679
877,11529,11679
878,11529,11679
879,11529,11679
880,11529,11679
881,11529,11679
882,11529,11679
883,11529,11679
884,11537,11679
885,11538,11680
886,11538,11680
887,11538,11680
888,11537,11680
889,11537,11680
890,11539,11679
891,11532,11679
892,11532,11679
893,11532,11679
894,11532,11679
895,11532,11679
896,11531,11679
897,11531,11679
898,11531,11679
899,11531,11679
900,11535,11675
901,11540,11675
902,11539,11671
903,11539,11671
904,11539,11669
905,11538,11669
906,11548,11663
907,11535,11655
908,11535,11655
909,11527,11655
910,11527,11644
911,11519,11644
912,11514,11644
913,11514,11644
914,11511,11644
915,11511,11644
916,11511,11644
917,11511,11648
918,11511,11648
919,11511,11648
920,11511,11648
921,11511,11645
922,11511,11644
923,11521,11644
924,11521,11644
925,11511,11644
926,11511,11644
927,11511,11644
928,11511,11644
929,11511,11644
930,11515,11644
931,11511,11644
932,11511,11644
933,11511,11644
934,11515,11644
935,11515,11644
936,11515,11644
937,11515,11644
938,11515,11644
939,11515,11645
940,11515,11645
941,11515,11645
942,11515,11645
943,11515,11646
944,11515,11646
945,11515,11646
946,11515,11646
947,11515,11646
948,11515,11644
949,11515,11645
950,11515,11645
951,11515,11645
952,11515,11645
953,11515,11645
954,11515,11645
955,11515,11644
956,11515,11643
957,11515,11640
958,11512,11640
959,11511,11640
960,11512,11640
961,11511,11640
962,11511,11640
963,11511,11640
964,11514,11640
965,11514,11640
966,11523,11640
967,11518,11640
968,11518,11640
969,11518,11640
970,11518,11640
971,11515,11640
972,11514,11640
973,11513,11640
974,11512,11640
975,11511,11640
976,11511,11640
977,11511,11640
978,11511,11637
979,11511,11637
980,11511,11635
981,11511,11635
982,11511,11635
983,11511,11635
984,11511,11635
985,11511,11635
986,11511,11635
987,11512,11635
988,11512,11635
989,11512,11635
990,11512,11635
991,11512,11635
992,11512,11635
993,11512,11635
994,11511,11635
995,11511,11635
996,11511,11635
997,11511,11635
998,11520,11635
999,11511,11635
1000,11511,11635
